week_ending,CASERATE_CITY,CASERATE_BX,CASERATE_BK,CASERATE_MN,CASERATE_QN,CASERATE_SI,CASERATE_10001,CASERATE_10002,CASERATE_10003,CASERATE_10004,CASERATE_10005,CASERATE_10006,CASERATE_10007,CASERATE_10009,CASERATE_10010,CASERATE_10011,CASERATE_10012,CASERATE_10013,CASERATE_10014,CASERATE_10016,CASERATE_10017,CASERATE_10018,CASERATE_10019,CASERATE_10021,CASERATE_10022,CASERATE_10023,CASERATE_10024,CASERATE_10025,CASERATE_10026,CASERATE_10027,CASERATE_10028,CASERATE_10029,CASERATE_10030,CASERATE_10031,CASERATE_10032,CASERATE_10033,CASERATE_10034,CASERATE_10035,CASERATE_10036,CASERATE_10037,CASERATE_10038,CASERATE_10039,CASERATE_10040,CASERATE_10044,CASERATE_10065,CASERATE_10069,CASERATE_10075,CASERATE_10128,CASERATE_10280,CASERATE_10282,CASERATE_10301,CASERATE_10302,CASERATE_10303,CASERATE_10304,CASERATE_10305,CASERATE_10306,CASERATE_10307,CASERATE_10308,CASERATE_10309,CASERATE_10310,CASERATE_10312,CASERATE_10314,CASERATE_10451,CASERATE_10452,CASERATE_10453,CASERATE_10454,CASERATE_10455,CASERATE_10456,CASERATE_10457,CASERATE_10458,CASERATE_10459,CASERATE_10460,CASERATE_10461,CASERATE_10462,CASERATE_10463,CASERATE_10464,CASERATE_10465,CASERATE_10466,CASERATE_10467,CASERATE_10468,CASERATE_10469,CASERATE_10470,CASERATE_10471,CASERATE_10472,CASERATE_10473,CASERATE_10474,CASERATE_10475,CASERATE_11004,CASERATE_11101,CASERATE_11102,CASERATE_11103,CASERATE_11104,CASERATE_11105,CASERATE_11106,CASERATE_11109,CASERATE_11201,CASERATE_11203,CASERATE_11204,CASERATE_11205,CASERATE_11206,CASERATE_11207,CASERATE_11208,CASERATE_11209,CASERATE_11210,CASERATE_11211,CASERATE_11212,CASERATE_11213,CASERATE_11214,CASERATE_11215,CASERATE_11216,CASERATE_11217,CASERATE_11218,CASERATE_11219,CASERATE_11220,CASERATE_11221,CASERATE_11222,CASERATE_11223,CASERATE_11224,CASERATE_11225,CASERATE_11226,CASERATE_11228,CASERATE_11229,CASERATE_11230,CASERATE_11231,CASERATE_11232,CASERATE_11233,CASERATE_11234,CASERATE_11235,CASERATE_11236,CASERATE_11237,CASERATE_11238,CASERATE_11239,CASERATE_11354,CASERATE_11355,CASERATE_11356,CASERATE_11357,CASERATE_11358,CASERATE_11360,CASERATE_11361,CASERATE_11362,CASERATE_11363,CASERATE_11364,CASERATE_11365,CASERATE_11366,CASERATE_11367,CASERATE_11368,CASERATE_11369,CASERATE_11370,CASERATE_11372,CASERATE_11373,CASERATE_11374,CASERATE_11375,CASERATE_11377,CASERATE_11378,CASERATE_11379,CASERATE_11385,CASERATE_11411,CASERATE_11412,CASERATE_11413,CASERATE_11414,CASERATE_11415,CASERATE_11416,CASERATE_11417,CASERATE_11418,CASERATE_11419,CASERATE_11420,CASERATE_11421,CASERATE_11422,CASERATE_11423,CASERATE_11426,CASERATE_11427,CASERATE_11428,CASERATE_11429,CASERATE_11432,CASERATE_11433,CASERATE_11434,CASERATE_11435,CASERATE_11436,CASERATE_11691,CASERATE_11692,CASERATE_11693,CASERATE_11694,CASERATE_11697
10/10/2020,48.54,38.15,65.47,31.74,46.05,57.76,39.84,35.85,29.64,100.94,79.93,29.57,57.21,28,35.98,30.15,69.11,13.88,46.15,53.03,25.62,50.89,25.27,23.98,16.18,21.04,15.41,21.83,25.86,28.39,23.22,30.68,20.5,45.74,20.62,56.39,52.08,28.38,33.04,24.05,56.86,11.04,50.04,17.14,25.09,0,34.72,34.15,10.7,17.95,43.7,32.46,33.95,50.14,63,79.54,114,26.83,69.82,51.19,49.14,68.09,38,47.86,53.38,7.93,42.97,23.61,44.76,30.21,35.51,35.67,40.73,33.19,30.01,46.67,39.42,28.05,33.31,44.98,44.07,33.35,70.62,39.72,55.83,25.05,39.78,36.94,46.15,83.21,48.66,15.73,58.03,61.45,17.35,19.26,30.01,120.64,44.12,43.82,40.43,51.27,48.88,175.07,70.82,28.39,44.89,48.48,40.22,47.42,39.15,97.3,155.41,45.46,14.73,41.52,147.25,92.93,22.6,26.71,35.57,117.32,195.75,21.4,66.46,17.49,58.48,88.24,38.1,54.17,26.14,69.11,22.26,16.49,52.6,43.91,36.09,26.25,41.71,44.19,14.85,47.63,22.82,35.19,110.63,32.62,29.74,47.2,62.62,56.73,74.89,60.34,45.21,27.67,43.67,28.95,37.42,31.5,39.35,45.84,84.78,98.52,22.55,34.59,51.54,43.9,37.45,9.26,41.75,39.68,29.7,32.29,27.98,70.78,35.6,25.46,66.76,29.94,121.16,52.31,7.89,24.06,0
10/17/2020,48.96,44.14,57.89,40.28,45.43,61.75,32.59,30.54,70.4,100.94,34.26,29.57,42.91,50.74,41.98,52.27,73.43,24.29,56.04,37.32,38.43,8.48,43.66,15.26,35.6,29.13,23.97,33.84,36.21,36.28,46.44,49.86,27.33,60.99,44.41,54.68,42.61,62.43,69.74,28.86,39.36,33.11,25.02,0,53.77,79.56,39.05,23.91,10.7,0,53.98,21.64,67.89,57.3,53.67,66.28,40.24,60.36,85,59.72,55.69,74.58,65.45,37.23,57.2,23.79,38.19,36.48,37.98,44.72,25.07,69.64,48.88,77.01,44.3,0,76.53,32.25,41.15,26.99,24.79,40.02,47.08,55.9,42.29,41.75,25.74,68.6,48.87,49.93,71.56,43.24,80.13,45.42,34.71,33.71,38.19,97.29,39.71,40.36,33.7,21.97,66.65,123.31,65.9,29.74,46.44,40.94,21.54,52.9,51.38,87.84,122.11,35.94,31.93,47.06,92.03,54.03,43.47,42.11,53.35,108.94,144,10.7,59.07,22.87,51.03,89.52,37.07,50,35.48,92.15,38.95,34.24,74.52,18.08,33.31,31.5,26.54,16.57,44.54,19.61,38.8,35.19,49.17,36.24,50.55,44.06,69.21,49.1,55.56,60.34,70.2,27.67,24.57,55.01,32.74,26.25,25.46,35.26,26.49,166.73,48.32,31.93,51.54,10.45,77.4,37.05,48.17,44.63,38.18,43.05,55.96,41.15,24.64,16.48,47.93,34.93,59.83,28.53,23.67,28.87,29.48
10/24/2020,60.07,54.01,65.2,48.5,60.87,86.32,50.7,50.45,51.87,67.29,22.84,59.14,71.52,38.49,44.97,82.42,60.47,41.64,69.22,58.93,64.05,50.89,45.95,69.75,84.15,35.61,34.24,39.29,33.62,23.66,46.44,63.92,44.41,50.83,61.85,58.1,63.92,34.05,47.72,14.43,61.23,18.4,38.67,51.41,78.86,63.65,43.39,35.86,10.7,17.95,105.39,81.15,86.75,69.23,81.67,94.68,80.47,93.89,151.79,46.93,67.16,82.14,50.67,63.82,76.26,44.94,69.22,38.63,59.68,68.89,50.13,35.67,69.25,57.09,38.58,0,85.8,29.45,60.75,66.83,41.31,53.36,37.66,32.36,84.59,25.05,21.06,94.99,54.3,43.27,68.69,47.18,55.26,64.12,104.12,33.71,38.19,92.1,61.77,77.27,48.3,75.34,82.95,94.39,88.52,40.56,55.73,86.19,33.03,25.54,31.81,78.38,94.36,59.2,52.8,58.13,107.99,54.03,55.64,31.84,66.69,71.83,123.75,34.78,70.15,40.36,59.54,93.35,39.13,89.58,29.88,61.43,33.38,39.31,61.37,82.66,36.09,36.75,72.05,16.57,14.85,36.43,34.23,140.76,81.13,65.24,65.42,103.85,84.04,76.37,67.64,51.92,80.91,102.36,62.78,92.65,9.36,52.5,13.89,81.1,58.28,94.73,74.09,63.85,61.85,58.53,97.38,18.52,77.08,64.47,42.42,64.58,49.74,49.38,43.81,20.97,59.92,54.88,52.35,23.78,71.02,43.31,88.43
10/31/2020,66.5,65.58,64.53,58.57,61.36,131.26,36.21,55.76,64.84,201.88,0,29.57,71.52,59.49,62.96,74.38,138.22,48.58,72.52,58.93,108.88,76.33,57.44,54.5,74.44,48.56,37.66,52.39,43.97,42.59,48.55,57.53,37.58,105.04,42.82,54.68,89.96,36.89,55.06,67.33,56.86,47.83,54.59,119.95,57.35,31.82,82.45,63.18,32.1,35.89,89.96,167.7,90.52,90.72,119,124.98,127.41,117.37,145.72,106.65,171.98,159.96,52.78,73.13,80.07,76.66,78.77,36.48,58.33,93.06,108.62,64.54,75.36,95.6,64.3,0,64.93,54.69,63.69,68.11,34.43,53.36,47.08,52.96,69.36,75.15,30.42,58.05,67.87,99.85,60.11,90.42,55.26,90.84,52.06,48.16,47.74,89.51,52.94,72.66,42.68,64.88,66.65,48.72,103.28,60.84,65.01,72.19,51.71,40.13,53.83,83.79,75.49,59.2,45.43,63.67,94.49,84.29,45.21,55.47,51.13,68.24,112.5,40.13,77.53,52.47,59.54,72.89,50.45,62.5,35.48,53.75,27.82,40.58,87.67,85.24,49.97,21,83.43,55.24,44.54,44.83,50.21,49.27,93.42,68.86,110.03,84.97,85.69,53.46,57.98,61.74,76.15,88.53,60.05,85.89,42.1,57.75,41.66,45.84,58.28,53.05,64.43,55.87,24.74,62.72,87.39,33.96,35.33,64.47,59.39,48.44,46.63,65.84,30.12,47.93,54.78,24.95,53.85,28.53,71.02,48.12,0
11/7/2020,104.26,100.76,100.43,91.79,97.61,209.39,105.02,79.66,59.28,134.58,114.19,147.85,42.91,82.24,89.95,128.65,133.9,83.28,161.52,88.39,147.31,42.41,98.8,69.75,103.57,53.41,87.31,78.59,67.25,74.14,78.11,60.08,119.58,113.51,122.12,112.79,61.55,62.43,128.48,48.09,122.46,114.05,122.82,51.41,121.87,206.86,147.54,111,64.2,107.68,208.2,254.26,101.84,155.18,165.67,253.76,301.77,207.91,239.83,268.75,235.86,193.46,105.56,115.67,96.6,116.31,100.25,75.11,123.44,122.07,129.51,112.1,114.06,135.43,105.74,46.67,71.89,71.52,90.14,98.96,66.1,100.05,75.33,95.62,113.35,100.2,74.88,84.43,105.88,126.48,131.66,114.01,212.77,93.51,69.41,73.84,58.65,146.59,50.74,100.33,74.13,129.75,112.57,141.58,144.59,77.06,97.52,106.66,93.36,72.96,85.64,118.93,167.62,65.55,97,110.73,111.67,101.58,93.89,72.93,53.35,123.31,175.5,37.46,88.61,61.89,94.62,129.16,59.72,85.42,67.23,145.9,55.64,64.68,96.43,144.65,52.74,94.51,53.09,82.87,44.54,58.84,63.9,63.34,71.3,117.79,145.71,138.46,141.72,120.01,128.04,74.37,111.84,168.76,106.45,102.3,84.2,86.62,32.4,81.1,74.18,102.31,77.32,151.65,63.91,110.8,112.36,64.84,122.04,123.99,89.09,102.26,77.72,95.47,68.45,46.43,92.44,94.8,59.83,23.78,134.15,158.81,147.38
11/14/2020,151.16,146.1,126.49,143.55,153.78,312.51,202.8,138.07,146.36,168.23,194.13,295.7,157.34,174.97,125.93,166.85,142.54,114.51,158.23,190.52,185.74,101.78,209.09,113.35,139.18,116.54,128.4,122.24,106.04,127.77,116.11,125.28,85.41,152.48,196.67,189.69,153.88,139.05,198.22,67.33,135.58,91.98,238.82,85.68,111.11,111.38,151.88,112.71,85.6,161.52,287.88,313.77,380.95,272.16,261.34,412.83,429.18,318.57,327.87,324.21,303.02,264.8,120.34,198.11,203.36,126.88,138.45,137.35,157.35,141.41,215.15,125.69,150.72,139.41,125.74,186.68,162.33,123.4,147.95,154.22,93.64,100.05,169.48,127.98,159.02,83.5,112.31,79.16,173.75,189.72,223.26,176.91,245.93,165.65,121.47,105.95,91.39,120.64,97.06,125.71,151.63,153.82,128.86,135.49,148.52,104.1,119.19,152.99,101.98,116.73,97.87,122.98,156.52,76.12,127.7,149.49,120.26,127.51,90.41,100.66,140.05,155.63,199.12,77.59,129.22,98.22,122.27,175.2,85.46,162.5,134.46,138.22,105.71,83.7,140.26,154.98,163.78,94.51,125.14,55.24,118.78,86.86,146.07,133.73,145.05,175.77,228.98,166.79,184.57,257.49,188.43,131.9,221.3,149.4,201.98,140.91,56.13,133.87,55.55,126.95,143.06,193.26,122.42,252.76,146.38,154.7,142.32,95.71,150.94,223.17,114.54,123.78,121.24,153.07,128.69,112.34,164.34,84.82,109.19,71.33,149.94,163.62,353.71
11/21/2020,170.7,183.54,149.69,152.58,163.45,341.7,170.21,138.07,179.7,538.34,91.35,118.28,328.97,188.97,170.9,142.73,181.41,142.27,247.23,227.84,211.36,144.18,98.8,102.45,155.36,113.3,145.52,142.98,111.21,123.04,90.77,104.83,136.66,182.98,212.53,227.28,172.81,130.53,198.22,86.57,231.8,143.48,179.68,25.7,100.36,206.86,143.2,131.49,117.69,197.42,318.73,384.1,350.78,367.66,301.01,429.87,355.41,392.34,309.66,332.74,347.24,289.65,192.12,231.34,231.32,163.89,169.48,159.88,166.84,159.54,217.24,178.34,240.34,187.21,202.9,116.68,252.77,124.81,167.55,212.05,106.04,180.1,160.07,186.82,257.15,116.9,93.6,94.99,122.16,249.63,220.39,169.04,254.21,165.65,121.47,149.29,105.03,127.13,125.74,151.08,160.62,171.61,198.48,137.01,181.97,150.07,140.86,161.61,129.27,116.73,97.87,168.93,123.22,134.26,162.08,116.27,180.39,170.73,133.88,118.12,202.3,154.43,262.12,133.77,195.68,111.67,142.47,204.61,86.49,127.08,130.72,92.15,105.71,97.65,184.1,160.15,172.1,136.52,109.97,149.16,148.47,112.08,120.96,190.03,179.47,166.71,240.87,154.2,232.36,185.48,178.77,151.54,197.51,166,182.88,149.59,84.2,183.74,90.26,190.42,158.96,208.42,164.3,218.17,119.58,123.34,267.17,145.11,128.46,188.46,139.99,161.46,121.24,187.64,145.12,131.81,159.21,119.75,113.68,104.62,173.61,240.62,972.7
11/28/2020,196.81,206.88,170.9,171.3,195.22,400.93,133.99,160.64,133.39,403.75,228.38,236.56,143.03,206.47,149.91,162.83,190.05,194.32,125.26,233.74,140.91,203.55,158.54,178.74,184.49,160.24,124.97,161.54,170.7,157.74,126.66,185.36,194.74,189.75,203.01,247.79,217.79,119.18,209.23,81.76,201.18,176.6,218.35,145.65,186.39,206.86,195.27,140.03,74.9,53.84,375.27,443.6,256.48,350.95,396.68,518.87,429.18,425.88,376.45,409.53,437.33,371.8,221.67,224.7,210.99,227.33,253.02,178.13,218.39,176.46,204.71,225.9,258.67,253.6,205.76,350.03,278.28,144.44,220.46,239.04,140.46,213.45,216.56,173.58,196.24,217.11,109.97,100.27,179.17,206.36,174.6,224.08,234.87,197.71,190.88,105.95,115.94,182.91,158.83,141.85,172.97,231.26,235.51,207.04,183.93,140.6,134.67,167,140.76,153.21,156.59,174.33,124.33,171.26,135.07,166.1,303.1,194.51,104.32,126.34,220.08,210.7,308.25,165.88,136.6,125.13,194.56,200.77,99.88,172.91,140.06,76.79,116.84,148.38,249.85,188.56,216.52,105.01,128.93,204.4,59.39,154.11,196.28,246.34,130.3,185.74,359.82,232.87,240.6,236.76,195.68,159.96,222.49,201.96,150.12,197.85,149.69,183.74,143.5,211.58,259.63,204.63,248.06,284.68,154.62,206.96,237.21,185.25,186.27,233.09,156.96,188.37,164.76,268.29,197.14,128.81,188.31,214.54,142.1,80.84,134.15,308,1120.08
12/5/2020,278.82,287.9,252,209.86,285.38,600.87,246.26,233.66,163.03,336.46,239.8,118.28,228.85,192.47,155.91,182.93,203.01,222.08,174.71,227.84,179.33,144.18,232.06,198.36,220.09,129.49,116.41,165.9,191.39,184.56,196.33,236.5,280.15,288.02,301.34,271.71,281.71,232.69,334.04,206.8,170.57,132.45,297.96,128.51,172.05,238.68,190.93,232.25,171.19,215.36,470.38,643.77,550.68,508.51,492.34,749.9,576.71,583.49,680.03,622.83,674.83,597.68,282.9,305.8,299.96,327.78,293.6,236.07,269.93,269.52,254.84,375.37,417.53,346.54,252.92,746.72,473.07,241.2,253.78,304.58,218.96,286.82,310.72,223.6,306.21,267.21,166.13,316.63,268.76,292.9,286.23,251.6,292.9,312.59,208.23,183,155.49,286.69,143.39,226.04,238.12,286.72,284.38,309.04,244.92,240.65,221.36,266.12,185.28,156.86,168.83,239.2,196.49,241.04,209.97,196.55,454.03,270.15,158.22,190.03,306.78,434.57,388.12,219.39,546.41,199.13,251.98,329.93,202.85,235.41,156.87,399.32,202.16,258.71,359.43,268.63,249.83,257.28,257.86,254.12,193.01,190.54,248.77,253.38,181.93,259.13,359.82,226.58,281.79,391.68,207.76,227.32,380.73,276.66,322.08,300.15,229.21,251.98,203.67,356.16,264.93,341.04,389.8,356.52,395.84,303.12,329.59,268.61,250.49,352.12,284.23,290.62,189.63,327.55,232.74,229.17,225.97,329.3,257.27,166.44,276.2,418.68,1326.41
12/12/2020,299.29,299.18,279.15,229.57,328.64,507.41,191.94,382.35,183.41,437.4,353.99,295.7,157.34,230.97,158.91,201.02,185.73,180.44,184.6,300.52,192.14,203.55,195.3,191.82,200.67,195.85,143.81,203.01,188.8,167.21,232.21,213.49,249.4,318.52,301.34,333.23,288.81,263.9,245.94,250.08,227.43,242.82,288.86,128.51,211.48,302.33,216.97,201.51,149.79,161.52,411.26,540.98,403.58,408.24,452.68,605.98,529.77,556.66,516.1,516.18,591.29,504.73,333.56,340.37,354.61,311.92,264.96,238.22,316.05,315.44,248.57,317.62,401.24,298.74,327.22,326.69,378,211.75,245.94,343.14,263.02,413.56,258.93,300.09,318.05,267.21,170.81,327.19,371.92,389.42,334.88,310.57,323.3,336.64,277.64,154.11,223.69,291.88,185.3,258.33,272.94,334.85,303.64,336.44,231.15,236.59,216.71,321.07,203.95,178.75,188.4,268.93,213.14,381.64,241.89,207.62,478.58,352.27,175.61,218.79,289,411.82,508.5,195.31,409.81,191.06,276.43,422.01,191.52,275,214.76,230.37,222.56,361.43,333.13,366.79,266.48,278.28,280.62,314.89,267.25,240.98,232.8,351.91,326.97,363.32,318.19,311.54,351.01,346.95,350.29,232.93,383.11,431.59,316.62,313.66,173.07,236.24,208.3,476.05,317.91,329.68,476.78,404.41,416.45,342.84,352.06,234.65,314.72,292.61,339.37,409.02,273.56,373.63,279.28,295.07,309.85,409.13,321.59,280.56,284.09,317.62,825.32
